Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4ybl_60825_uff_E=198.09,-5.6,0.0,0.0
4ybl_60825_uff_E=198.09,-5.4,20.108,18.452
4ybl_60825_uff_E=198.09,-5.4,2.454,1.809
4ybl_60825_uff_E=198.09,-5.4,20.119,18.636
4ybl_60825_uff_E=198.09,-5.3,23.842,22.447
4ybl_60825_uff_E=198.09,-5.3,28.581,27.265
4ybl_60825_uff_E=198.09,-5.2,22.628,21.138
4ybl_60825_uff_E=198.09,-5.1,29.116,27.804
4ybl_60825_uff_E=198.09,-4.9,2.895,2.227
4ybl_35370_uff_E=310.26,-7.2,0.0,0.0
4ybl_35370_uff_E=310.26,-6.6,22.413,20.63
4ybl_35370_uff_E=310.26,-6.4,6.411,2.359
4ybl_35370_uff_E=310.26,-5.8,10.626,9.149
4ybl_35370_uff_E=310.26,-5.7,12.292,10.17
4ybl_35370_uff_E=310.26,-5.7,40.056,39.252
4ybl_35370_uff_E=310.26,-5.6,6.453,2.802
4ybl_35370_uff_E=310.26,-5.6,22.606,21.258
4ybl_35370_uff_E=310.26,-5.4,20.128,18.06
4ybl_464205_uff_E=683.72,-7.0,0.0,0.0
4ybl_464205_uff_E=683.72,-6.9,14.843,13.973
4ybl_464205_uff_E=683.72,-6.8,1.689,1.203
4ybl_464205_uff_E=683.72,-6.8,15.479,14.617
4ybl_464205_uff_E=683.72,-6.7,2.268,1.693
4ybl_464205_uff_E=683.72,-6.3,9.73,7.759
4ybl_464205_uff_E=683.72,-6.2,3.968,2.816
4ybl_464205_uff_E=683.72,-6.0,31.767,29.541
4ybl_464205_uff_E=683.72,-6.0,13.939,13.248
